instancia,intensidade,respeita_lb,repeticao,duracao,fo
instance_0004b,0.2,False,1,60.32,4.441717791411043
instance_0004b,0.7,False,1,60.32,4.355828220858895
instance_0004b,0.3,False,6,60.27,4.343558282208589
instance_0004b,0.8,False,6,60.31,4.52760736196319
instance_0004b,0.5,True,1,60.26,5.607843137254902
instance_0004b,0.1,True,7,60.26,6.131578947368421
instance_0004b,1.0,True,2,60.26,5.3896103896103895
instance_0004b,0.6,True,7,60.30,5.563291139240507
instance_0004b,0.2,False,2,60.25,17.62264150943396
instance_0004b,0.3,False,7,60.24,4.429447852760736
instance_0004b,0.7,False,2,60.30,4.327160493827161
instance_0004b,0.5,True,2,60.21,5.833333333333333
instance_0004b,0.8,False,7,60.32,4.339506172839506
instance_0004b,0.1,True,8,60.24,5.71875
instance_0004b,1.0,True,3,60.26,5.0
instance_0004b,0.3,False,8,60.24,4.401234567901234
instance_0004b,0.6,True,8,60.33,5.697986577181208
instance_0004b,0.5,True,3,60.22,5.825503355704698
instance_0004b,0.2,False,3,60.32,4.380368098159509
instance_0004b,0.7,False,3,60.27,4.355828220858895
instance_0004b,0.8,False,8,60.27,4.481012658227848
instance_0004b,0.1,True,9,60.53,5.662162162162162
instance_0004b,1.0,True,4,60.29,5.105263157894737
instance_0004b,0.6,True,9,60.24,5.522012578616352
instance_0004b,0.3,False,9,60.27,4.3580246913580245
instance_0004b,0.2,False,4,60.26,4.3765432098765435
instance_0004b,0.5,True,4,60.27,5.443708609271523
instance_0004b,0.7,False,4,60.30,4.391304347826087
instance_0004b,0.8,False,9,60.28,4.333333333333333
instance_0004b,0.1,True,10,60.31,5.547770700636943
instance_0004b,0.5,True,5,60.30,5.395973154362416
instance_0004b,0.6,True,10,60.33,5.608695652173913
instance_0004b,0.2,False,5,60.37,4.627450980392157
instance_0004b,0.7,False,5,60.30,4.567741935483871
instance_0004b,1.0,True,5,60.43,5.577639751552795
instance_0004b,0.8,False,10,60.30,4.331288343558282
instance_0004b,0.3,False,10,60.41,4.374233128834356
instance_0004b,0.1,False,1,60.37,4.366459627329193
instance_0004b,0.5,True,6,60.28,5.684210526315789
instance_0004b,0.9,True,1,60.23,5.432258064516129
instance_0004b,0.7,False,6,60.27,4.319018404907975
instance_0004b,1.0,True,6,60.27,5.776315789473684
instance_0004b,0.6,False,1,60.31,4.436708860759493
instance_0004b,0.2,False,6,60.30,4.3128834355828225
instance_0004b,0.4,True,1,60.26,5.660377358490566
instance_0004b,0.1,False,2,60.27,4.306748466257669
instance_0004b,1.0,True,7,60.29,5.6066666666666665
instance_0004b,0.7,False,7,60.33,4.425925925925926
instance_0004b,0.5,True,7,60.39,5.787096774193548
instance_0004b,0.2,False,7,60.31,4.3602484472049685
instance_0004b,0.9,True,2,60.36,5.529032258064516
instance_0004b,0.4,True,2,60.33,5.89171974522293
instance_0004b,0.1,False,3,60.49,4.306748466257669
instance_0004b,0.5,True,8,60.27,5.617834394904459
instance_0004b,0.7,False,8,60.34,4.300613496932515
instance_0004b,1.0,True,8,60.35,5.401360544217687
instance_0004b,0.2,False,8,60.32,4.339506172839506
instance_0004b,0.9,True,3,60.34,5.470198675496689
instance_0004b,0.4,True,3,60.32,6.025974025974026
instance_0004b,0.1,False,4,60.21,4.3875
instance_0004b,0.5,True,9,60.28,5.6558441558441555
instance_0004b,0.6,False,4,60.26,4.452830188679245
instance_0004b,1.0,True,9,60.30,5.432258064516129
instance_0004b,0.7,False,9,60.34,4.343558282208589
instance_0004b,0.2,False,9,60.38,4.306748466257669
instance_0004b,0.4,True,4,60.34,5.827814569536423
instance_0004b,0.9,True,4,60.38,5.707792207792208
instance_0004b,0.1,False,5,60.52,4.3580246913580245
instance_0004b,0.9,True,5,60.30,5.594771241830065
instance_0004b,0.6,False,5,60.49,4.392638036809816
instance_0004b,0.7,False,10,60.42,4.325153374233129
instance_0004b,0.4,True,5,60.38,5.452702702702703
instance_0004b,0.5,True,10,60.59,5.74496644295302
instance_0004b,1.0,True,10,60.54,5.883116883116883
instance_0004b,0.2,False,10,60.42,4.3128834355828225
instance_0004b,0.6,False,7,60.40,4.368098159509202
instance_0004b,0.4,True,7,60.53,5.640522875816994
instance_0004b,0.9,True,7,60.54,5.496774193548387
instance_0004b,0.5,False,2,60.53,4.319018404907975
instance_0004b,1.0,False,2,60.73,4.3765432098765435
instance_0004b,0.3,True,2,60.94,5.398692810457517
instance_0004b,0.1,False,7,61.08,4.331288343558282
instance_0004b,0.8,True,2,65.15,5.613924050632911
instance_0004b,0.4,True,8,60.41,5.25
instance_0004b,0.9,True,8,60.51,5.740259740259741
instance_0004b,0.6,False,8,60.79,4.325153374233129
instance_0004b,0.5,False,3,60.74,4.345679012345679
instance_0004b,1.0,False,3,60.66,4.398773006134969
instance_0004b,0.3,True,3,60.68,5.658227848101266
instance_0004b,0.1,False,8,60.55,4.319018404907975
instance_0004b,0.8,True,3,60.24,5.832258064516129
instance_0004b,0.4,True,9,60.24,5.602739726027397
instance_0004b,0.9,True,9,60.20,5.5359477124183005
instance_0004b,0.6,False,9,60.30,4.3580246913580245
instance_0004b,1.0,False,4,60.46,4.300613496932515
instance_0004b,0.5,False,4,60.58,4.300613496932515
